order_id,user_id,order_amount,payment_method,user_total_orders,user_rto_count,user_rto_rate,is_first_order,device_order_velocity_24h,pincode_risk_tier,address_completeness_score,ip_shipping_distance_tier,cart_item_count,order_hour,target_is_rto
ord_46059026,cust_921246,3766.42,COD,16,0,0.0,0,1,TIER_1_METRO,0.778,0,1,20,0
ord_73632143,cust_931653,862.72,CARD,4,0,0.0,0,1,TIER_3_HIGH_RISK,0.739,0,1,12,0
ord_53864137,cust_850681,1470.8,NETBANKING,3,0,0.0,0,1,TIER_1_METRO,0.869,2,1,20,0
ord_83858509,cust_326709,1411.36,UPI,0,0,0.0,1,1,TIER_1_METRO,0.738,0,1,1,0
ord_75201633,cust_544374,4430.34,COD,6,0,0.0,0,1,TIER_1_METRO,0.51,0,1,5,0
ord_92713087,cust_403060,841.6,COD,2,0,0.0,0,1,TIER_2,0.884,0,2,17,0
ord_55827857,cust_896425,942.6,COD,8,0,0.0,0,1,TIER_3_HIGH_RISK,0.476,2,1,3,1
ord_76893896,cust_747786,1369.42,COD,5,0,0.0,0,1,TIER_1_METRO,0.755,0,2,7,0
ord_12112368,cust_131368,1280.53,UPI,11,1,0.0909,0,2,TIER_3_HIGH_RISK,0.62,0,1,14,1
ord_83825351,cust_455060,12216.56,COD,0,0,0.0,1,1,TIER_2,0.871,0,4,14,0
ord_75860676,cust_272596,478.36,COD,3,0,0.0,0,5,TIER_2,0.84,0,1,13,1
ord_98132318,cust_965756,1753.23,COD,16,3,0.1875,0,1,TIER_2,0.834,0,2,23,0
ord_97960491,cust_938714,1191.75,COD,0,0,0.0,1,1,TIER_1_METRO,0.62,1,1,3,1
ord_49365735,cust_259435,6679.05,UPI,16,4,0.25,0,1,TIER_2,0.777,2,1,0,0
ord_88507230,cust_352641,791.07,COD,3,0,0.0,0,3,TIER_3_HIGH_RISK,0.754,1,5,9,1
ord_67318243,cust_121157,1271.52,COD,4,0,0.0,0,1,TIER_1_METRO,0.699,3,2,2,1
ord_30927338,cust_501295,742.5,UPI,21,0,0.0,0,1,TIER_1_METRO,0.855,1,2,16,0
ord_85147626,cust_487740,312.55,COD,5,0,0.0,0,2,TIER_2,0.66,0,2,23,0
ord_31878426,cust_234564,285.68,COD,0,0,0.0,1,1,TIER_2,0.77,1,1,22,0
ord_51631125,cust_315342,1477.82,UPI,13,0,0.0,0,1,TIER_2,0.931,2,1,11,0
ord_63459288,cust_518597,1249.37,COD,0,0,0.0,1,1,TIER_3_HIGH_RISK,0.879,0,1,22,1
ord_40271732,cust_995592,249.0,UPI,12,0,0.0,0,1,TIER_1_METRO,0.849,0,2,14,0
ord_97364272,cust_558166,3081.5,COD,0,0,0.0,1,2,TIER_1_METRO,0.92,0,1,2,1
ord_85057004,cust_176945,7436.43,CARD,5,0,0.0,0,1,TIER_2,0.915,2,1,10,0
ord_53390879,cust_631732,2229.69,UPI,4,0,0.0,0,1,TIER_1_METRO,0.833,0,3,23,0
ord_62182965,cust_973841,5433.81,COD,0,0,0.0,1,2,TIER_1_METRO,0.654,0,2,11,1
ord_47726492,cust_702851,579.83,UPI,2,0,0.0,0,1,TIER_1_METRO,0.879,2,1,21,1
ord_26938002,cust_246712,826.44,COD,1,0,0.0,0,1,TIER_1_METRO,0.719,1,2,20,1
ord_68890190,cust_623888,1988.92,UPI,0,0,0.0,1,1,TIER_2,0.936,1,3,15,0
ord_81021806,cust_261545,843.78,COD,2,0,0.0,0,1,TIER_3_HIGH_RISK,0.795,0,2,15,0
ord_73861736,cust_425144,1305.21,UPI,0,0,0.0,1,1,TIER_1_METRO,0.513,2,4,23,0
ord_29847987,cust_348465,2569.71,CARD,0,0,0.0,1,1,TIER_2,0.715,1,1,16,0
ord_39988602,cust_759650,1336.19,COD,12,0,0.0,0,5,TIER_3_HIGH_RISK,0.414,0,3,15,1
ord_99004885,cust_882190,609.33,UPI,0,0,0.0,1,3,TIER_3_HIGH_RISK,0.563,0,1,14,1
ord_54990622,cust_580420,2699.06,NETBANKING,0,0,0.0,1,1,TIER_1_METRO,0.868,0,3,4,0
ord_74505778,cust_417473,2355.09,UPI,4,0,0.0,0,1,TIER_1_METRO,0.657,2,1,14,0
ord_28492846,cust_241248,317.48,COD,0,0,0.0,1,1,TIER_1_METRO,0.896,0,1,2,1
ord_68842658,cust_124996,13803.53,CARD,0,0,0.0,1,1,TIER_3_HIGH_RISK,0.499,1,1,11,0
ord_75213207,cust_902735,441.46,COD,0,0,0.0,1,1,TIER_3_HIGH_RISK,0.754,0,5,12,1
ord_50553798,cust_474340,2081.2,COD,2,0,0.0,0,1,TIER_2,0.719,0,1,16,1
ord_90279861,cust_367600,7785.59,COD,9,0,0.0,0,2,TIER_1_METRO,0.934,0,1,5,0
ord_93399173,cust_882234,1553.7,COD,3,0,0.0,0,1,TIER_1_METRO,0.588,1,2,16,0
ord_79905511,cust_634402,1907.25,COD,0,0,0.0,1,1,TIER_1_METRO,0.901,3,2,1,1
ord_13594128,cust_173541,2339.47,CARD,4,0,0.0,0,1,TIER_1_METRO,0.837,0,3,11,0
ord_93692386,cust_491029,763.6,UPI,6,0,0.0,0,1,TIER_1_METRO,0.918,0,1,2,0
ord_28371718,cust_898184,735.39,COD,3,0,0.0,0,1,TIER_2,0.755,2,4,11,0
ord_47091985,cust_278215,249.0,COD,0,0,0.0,1,1,TIER_2,0.83,2,1,21,0
ord_93802796,cust_620709,1742.48,COD,0,0,0.0,1,1,TIER_3_HIGH_RISK,0.562,0,2,14,0
ord_51831301,cust_987655,1746.89,COD,20,4,0.2,0,1,TIER_1_METRO,0.648,0,1,20,0
ord_21808606,cust_975022,1458.78,COD,11,0,0.0,0,1,TIER_2,0.715,2,2,1,0
ord_56439429,cust_365283,481.81,UPI,4,0,0.0,0,1,TIER_1_METRO,0.9,1,4,21,0
ord_28298917,cust_951590,1159.24,COD,0,0,0.0,1,1,TIER_2,0.629,0,2,22,1
ord_72396414,cust_445282,1097.81,CARD,0,0,0.0,1,1,TIER_2,0.724,2,1,6,0
ord_55169625,cust_592269,1891.61,UPI,10,2,0.2,0,1,TIER_2,0.853,2,1,5,0
ord_49465270,cust_785691,819.14,COD,4,0,0.0,0,2,TIER_3_HIGH_RISK,0.551,2,1,22,1
ord_53255168,cust_254558,1417.78,COD,6,0,0.0,0,1,TIER_3_HIGH_RISK,0.747,0,2,1,0
ord_97817147,cust_488126,710.58,UPI,8,0,0.0,0,2,TIER_3_HIGH_RISK,0.69,3,1,10,0
ord_23117447,cust_347704,3240.92,COD,0,0,0.0,1,2,TIER_2,0.696,0,1,3,1
